timestamp,mass_flow_rate,vol_flow_rate,density_fluid,T_coriolis,phase_shift
2026-04-27 00:00,106916.7,18528,871.05,74.02,0.00406
2026-04-27 00:10,106641.6,18520,869.19,73.4,0.00413
2026-04-27 00:20,106247.1,18420,870.7,74.69,0.004386
2026-04-27 00:30,106588.5,18506,869.44,74.36,0.004306
2026-04-27 00:40,106806.9,18535,869.83,74.87,0.004189
2026-04-27 00:50,106913.5,18547,870.14,74.43,0.004098
2026-04-27 01:00,106930.5,18583,868.6,74.23,0.004388
2026-04-27 01:10,107642.1,18679,869.89,74.08,0.004169
2026-04-27 01:20,107810.0,18720,869.33,74.85,0.004063
2026-04-27 01:30,107627.2,18629,872.09,73.86,0.004319
2026-04-27 01:40,106728.1,18520,869.89,74.46,0.004282
2026-04-27 01:50,105949.7,18432,867.7,74.38,0.004204
2026-04-27 02:00,107328.8,18628,869.73,74.24,0.00416
2026-04-27 02:10,107505.1,18647,870.29,74.82,0.004343
2026-04-27 02:20,107593.1,18676,869.62,74.7,0.004171
2026-04-27 02:30,107767.4,18739,868.13,74.84,0.004108
2026-04-27 02:40,107425.4,18680,868.09,75.12,0.004186
2026-04-27 02:50,108748.9,18862,870.33,74.3,0.004092
2026-04-27 03:00,108485.5,18843,869.08,74.52,0.004182
2026-04-27 03:10,108087.7,18780,868.79,74.79,0.004152
2026-04-27 03:20,107266.8,18599,870.6,74.68,0.00433
2026-04-27 03:30,107684.2,18725,868.1,75.31,0.004041
2026-04-27 03:40,108304.9,18776,870.72,74.88,0.004034
2026-04-27 03:50,108622.5,18852,869.77,75.4,0.004259
2026-04-27 04:00,109767.0,19089,868.02,75.03,0.004093
2026-04-27 04:10,109321.7,18947,870.99,75.29,0.004122
2026-04-27 04:20,108063.0,18802,867.56,75.6,0.004251
2026-04-27 04:30,108770.1,18848,871.12,75.33,0.004298
2026-04-27 04:40,107932.0,18745,869.14,75.19,0.004236
2026-04-27 04:50,109108.6,18958,868.79,75.18,0.004421
2026-04-27 05:00,109297.5,18941,871.04,75.15,0.004277
2026-04-27 05:10,109719.2,19034,870.13,75.54,0.004112
2026-04-27 05:20,109299.2,18941,871.09,74.96,0.00431
2026-04-27 05:30,108474.3,18842,869.03,75.19,0.004393
2026-04-27 05:40,109200.5,18923,871.12,74.98,0.004208
2026-04-27 05:50,108295.9,18805,869.31,75.45,0.004196
2026-04-27 06:00,109564.5,19016,869.76,75.14,0.004328
2026-04-27 06:10,108397.0,18847,868.18,75.59,0.004241
2026-04-27 06:20,107925.5,18725,870.05,75.07,0.004374
2026-04-27 06:30,108483.2,18838,869.3,74.92,0.004095
2026-04-27 06:40,108352.9,18837,868.28,74.87,0.004039
2026-04-27 06:50,107948.3,18770,868.13,75.02,0.004132
2026-04-27 07:00,108353.4,18788,870.57,75.14,0.004157
2026-04-27 07:10,108844.0,18844,871.91,75.22,0.004248
2026-04-27 07:20,107497.6,18668,869.22,74.48,0.004157
2026-04-27 07:30,108821.3,18899,869.19,75.26,0.004098
2026-04-27 07:40,108741.9,18908,868.14,75.01,0.004242
