timestamp,GOR,Q_oil,Q_gas,Q_water
2026-04-27 00:00,887.7,17885,15.8777,2401
2026-04-27 00:10,878.7,17877,15.7089,2492
2026-04-27 00:20,873.8,17902,15.6438,2429
2026-04-27 00:30,878.9,17868,15.7044,2360
2026-04-27 00:40,892.1,17935,16.0011,2414
2026-04-27 00:50,871.2,17925,15.616,2408
2026-04-27 01:00,881.2,17831,15.7124,2398
2026-04-27 01:10,877.5,17904,15.7115,2401
2026-04-27 01:20,882.4,17944,15.8343,2398
2026-04-27 01:30,890.0,17920,15.9491,2430
2026-04-27 01:40,878.6,17882,15.7122,2427
2026-04-27 01:50,888.2,17956,15.948,2422
2026-04-27 02:00,883.9,17944,15.8615,2392
2026-04-27 02:10,895.7,17992,16.1163,2432
2026-04-27 02:20,906.9,17822,16.1635,2383
2026-04-27 02:30,887.0,17879,15.8596,2411
2026-04-27 02:40,886.7,17955,15.9209,2429
2026-04-27 02:50,893.4,17849,15.9474,2416
2026-04-27 03:00,896.0,17917,16.0543,2400
2026-04-27 03:10,902.3,17872,16.1257,2388
2026-04-27 03:20,896.8,17926,16.077,2425
2026-04-27 03:30,889.6,17834,15.8659,2362
2026-04-27 03:40,888.8,17939,15.9452,2423
2026-04-27 03:50,878.1,17926,15.7419,2397
2026-04-27 04:00,884.7,18009,15.9322,2407
2026-04-27 04:10,899.9,18028,16.2242,2382
2026-04-27 04:20,890.4,17974,16.0048,2360
2026-04-27 04:30,894.4,17902,16.0127,2429
2026-04-27 04:40,897.3,17854,16.0214,2429
2026-04-27 04:50,901.1,17847,16.0817,2379
2026-04-27 05:00,890.3,17842,15.8849,2431
2026-04-27 05:10,892.1,17886,15.9554,2368
2026-04-27 05:20,891.6,17974,16.0261,2422
2026-04-27 05:30,881.9,17850,15.7429,2419
2026-04-27 05:40,891.0,17872,15.9235,2374
2026-04-27 05:50,884.3,17904,15.8338,2388
2026-04-27 06:00,904.1,17896,16.1808,2371
2026-04-27 06:10,900.5,17967,16.1802,2377
2026-04-27 06:20,881.3,17876,15.7546,2359
2026-04-27 06:30,908.0,17830,16.1903,2390
2026-04-27 06:40,906.6,17943,16.2669,2384
2026-04-27 06:50,888.4,17890,15.8939,2392
2026-04-27 07:00,906.5,17892,16.2186,2359
2026-04-27 07:10,902.2,17951,16.196,2393
2026-04-27 07:20,900.3,17902,16.1172,2363
2026-04-27 07:30,893.2,17842,15.9373,2380
2026-04-27 07:40,886.1,17916,15.8756,2405
2026-04-27 07:50,882.7,17854,15.7606,2399
2026-04-27 08:00,896.7,17903,16.0543,2333
2026-04-27 08:10,902.9,17988,16.2428,2447
2026-04-27 08:20,896.6,17933,16.08,2380
2026-04-27 08:30,893.4,17843,15.9415,2403
2026-04-27 08:40,880.1,17929,15.7787,2389
2026-04-27 08:50,897.2,17909,16.068,2386
2026-04-27 09:00,897.4,17841,16.01,2392
2026-04-27 09:10,885.8,17937,15.8894,2397
2026-04-27 09:20,891.8,17926,15.9867,2329
2026-04-27 09:30,881.7,17905,15.7879,2430
2026-04-27 09:40,893.2,17965,16.0465,2393
2026-04-27 09:50,888.9,17875,15.8885,2386
2026-04-27 10:00,880.9,17872,15.7434,2394
2026-04-27 10:10,881.7,17901,15.7838,2345
2026-04-27 10:20,889.8,17908,15.9346,2413
2026-04-27 10:30,882.0,17874,15.766,2429
2026-04-27 10:40,883.9,17999,15.9095,2357
2026-04-27 10:50,882.5,17843,15.7476,2376
2026-04-27 11:00,877.6,17875,15.6873,2423
2026-04-27 11:10,874.1,17930,15.673,2356
2026-04-27 11:20,879.4,17965,15.7986,2413
2026-04-27 11:30,884.1,17931,15.8539,2417
2026-04-27 11:40,886.3,17970,15.9275,2368
2026-04-27 11:50,880.1,17931,15.7816,2422
2026-04-27 12:00,884.5,17965,15.8897,2384
2026-04-27 12:10,868.5,17963,15.6023,2399
2026-04-27 12:20,874.3,17901,15.6516,2387
2026-04-27 12:30,886.1,17944,15.9005,2409
2026-04-27 12:40,881.7,17901,15.7843,2430
2026-04-27 12:50,857.8,17841,15.3054,2398
2026-04-27 13:00,872.8,17852,15.5818,2418
2026-04-27 13:10,867.7,17910,15.5406,2403
2026-04-27 13:20,875.3,17858,15.6321,2394
2026-04-27 13:30,893.1,17927,16.0103,2428
2026-04-27 13:40,891.0,17814,15.8734,2386
2026-04-27 13:50,898.9,17965,16.1482,2434
2026-04-27 14:00,911.9,17857,16.2839,2403
2026-04-27 14:10,914.8,17887,16.3646,2362
2026-04-27 14:20,929.1,17898,16.6296,2424
2026-04-27 14:30,922.2,17843,16.455,2509
2026-04-27 14:40,935.3,17914,16.7556,2413
2026-04-27 14:50,943.0,17986,16.9613,2398
2026-04-27 15:00,960.6,17990,17.2819,2376
2026-04-27 15:10,964.0,17882,17.2397,2358
2026-04-27 15:20,978.7,17923,17.5422,2405
2026-04-27 15:30,990.3,17943,17.7701,2410
2026-04-27 15:40,991.8,17961,17.8134,2379
2026-04-27 15:50,1013.5,17890,18.1322,2422
