timestamp,mpos_actual,pos_setpoint,drive_signal
2026-04-28 00:00,46.94,47.5,11.61
2026-04-28 00:10,47.22,47.57,11.62
2026-04-28 00:20,47.3,47.63,11.67
2026-04-28 00:30,47.98,47.7,11.62
2026-04-28 00:40,47.96,47.76,11.64
2026-04-28 00:50,48.52,47.82,11.56
2026-04-28 01:00,48.05,47.89,11.72
2026-04-28 01:10,47.8,47.95,11.65
2026-04-28 01:20,48.08,48.01,11.64
2026-04-28 01:30,47.86,48.07,11.64
2026-04-28 01:40,50.91,48.13,11.6
2026-04-28 01:50,44.79,48.19,11.74
2026-04-28 02:00,41.33,48.25,11.7
2026-04-28 02:10,43.41,48.31,11.81
2026-04-28 02:20,48.3,48.36,11.8
2026-04-28 02:30,53.26,48.41,11.7
2026-04-28 02:40,55.34,48.46,11.77
2026-04-28 02:50,51.3,48.51,11.81
2026-04-28 03:00,45.22,48.56,11.81
2026-04-28 03:10,41.62,48.61,11.75
2026-04-28 03:20,42.72,48.65,11.82
2026-04-28 03:30,48.69,48.69,11.84
2026-04-28 03:40,54.75,48.73,11.79
2026-04-28 03:50,55.43,48.77,11.81
2026-04-28 04:00,51.35,48.8,11.73
2026-04-28 04:10,46.05,48.83,11.78
2026-04-28 04:20,42.26,48.86,11.83
2026-04-28 04:30,43.9,48.89,11.83
2026-04-28 04:40,49.74,48.91,11.78
2026-04-28 04:50,55.01,48.93,11.84
2026-04-28 05:00,55.56,48.95,11.81
2026-04-28 05:10,51.47,48.96,11.86
2026-04-28 05:20,45.05,48.98,11.75
2026-04-28 05:30,42.05,48.99,11.87
2026-04-28 05:40,43.85,48.99,11.91
2026-04-28 05:50,50.1,49.0,11.91
2026-04-28 06:00,55.33,49.0,11.85
2026-04-28 06:10,55.79,49.0,11.81
2026-04-28 06:20,50.33,48.99,11.86
2026-04-28 06:30,45.12,48.99,11.83
2026-04-28 06:40,41.14,48.98,11.88
2026-04-28 06:50,43.94,48.96,11.8
2026-04-28 07:00,49.18,48.95,11.79
2026-04-28 07:10,54.4,48.93,11.78
2026-04-28 07:20,54.87,48.91,11.82
2026-04-28 07:30,51.06,48.89,11.86
2026-04-28 07:40,44.5,48.86,11.8
2026-04-28 07:50,41.62,48.83,11.83
2026-04-28 08:00,43.91,48.8,11.85
2026-04-28 08:10,50.31,48.77,11.8
2026-04-28 08:20,54.81,48.73,11.76
2026-04-28 08:30,55.13,48.69,11.79
2026-04-28 08:40,51.7,48.65,11.73
2026-04-28 08:50,44.79,48.61,11.78
2026-04-28 09:00,41.39,48.56,11.79
2026-04-28 09:10,43.74,48.51,11.77
2026-04-28 09:20,49.1,48.46,11.79
2026-04-28 09:30,53.97,48.41,11.73
2026-04-28 09:40,55.15,48.36,11.81
2026-04-28 09:50,50.09,48.31,11.76
2026-04-28 10:00,44.36,48.25,11.77
2026-04-28 10:10,41.36,48.19,11.8
2026-04-28 10:20,44.05,48.13,11.65
2026-04-28 10:30,48.98,48.07,11.65
2026-04-28 10:40,53.97,48.01,11.59
2026-04-28 10:50,53.69,47.95,11.72
2026-04-28 11:00,50.0,47.89,11.7
2026-04-28 11:10,43.51,47.82,11.6
2026-04-28 11:20,40.8,47.76,11.71
2026-04-28 11:30,43.12,47.7,11.64
2026-04-28 11:40,49.26,47.63,11.64
2026-04-28 11:50,53.68,47.57,11.63
2026-04-28 12:00,53.79,47.5,11.68
2026-04-28 12:10,49.26,47.43,11.55
2026-04-28 12:20,43.6,47.37,11.63
2026-04-28 12:30,40.22,47.3,11.6
2026-04-28 12:40,43.15,47.24,11.39
2026-04-28 12:50,47.75,47.18,11.57
2026-04-28 13:00,52.84,47.11,11.62
2026-04-28 13:10,53.5,47.05,11.52
2026-04-28 13:20,48.76,46.99,11.5
2026-04-28 13:30,42.53,46.93,11.51
2026-04-28 13:40,40.37,46.87,11.42
2026-04-28 13:50,42.47,46.81,11.47
2026-04-28 14:00,48.17,46.75,11.44
2026-04-28 14:10,52.91,46.69,11.42
2026-04-28 14:20,52.9,46.64,11.45
2026-04-28 14:30,47.56,46.59,11.47
2026-04-28 14:40,41.18,46.54,11.43
2026-04-28 14:50,38.99,46.49,11.45
2026-04-28 15:00,41.96,46.44,11.47
2026-04-28 15:10,47.81,46.39,11.41
2026-04-28 15:20,53.01,46.35,11.39
2026-04-28 15:30,52.52,46.31,11.48
2026-04-28 15:40,48.06,46.27,11.5
2026-04-28 15:50,42.1,46.23,11.37
2026-04-28 16:00,39.73,46.2,11.44
2026-04-28 16:10,41.8,46.17,11.41
2026-04-28 16:20,47.72,46.14,11.41
2026-04-28 16:30,52.38,46.11,11.37
2026-04-28 16:40,52.93,46.09,11.4
2026-04-28 16:50,46.95,46.07,11.38
2026-04-28 17:00,41.52,46.05,11.38
2026-04-28 17:10,39.23,46.04,11.38
2026-04-28 17:20,41.18,46.02,11.29
2026-04-28 17:30,48.29,46.01,11.36
2026-04-28 17:40,52.85,46.01,11.39
2026-04-28 17:50,51.9,46.0,11.28
2026-04-28 18:00,47.5,46.0,11.39
2026-04-28 18:10,42.2,46.0,11.35
2026-04-28 18:20,39.14,46.01,11.27
2026-04-28 18:30,41.7,46.01,11.37
2026-04-28 18:40,47.72,46.02,11.32
2026-04-28 18:50,52.95,46.04,11.45
2026-04-28 19:00,51.68,46.05,11.37
2026-04-28 19:10,47.08,46.07,11.45
2026-04-28 19:20,41.6,46.09,11.4
2026-04-28 19:30,38.85,46.11,11.44
2026-04-28 19:40,42.04,46.14,11.48
2026-04-28 19:50,48.55,46.17,11.35
2026-04-28 20:00,52.81,46.2,11.4
2026-04-28 20:10,52.15,46.23,11.44
2026-04-28 20:20,47.33,46.27,11.4
2026-04-28 20:30,41.38,46.31,11.37
2026-04-28 20:40,39.5,46.35,11.43
2026-04-28 20:50,42.94,46.39,11.36
2026-04-28 21:00,48.54,46.44,11.51
2026-04-28 21:10,52.65,46.49,11.39
2026-04-28 21:20,52.11,46.54,11.49
2026-04-28 21:30,47.04,46.59,11.45
2026-04-28 21:40,41.61,46.64,11.43
2026-04-28 21:50,39.7,46.69,11.45
2026-04-28 22:00,42.82,46.75,11.48
2026-04-28 22:10,49.08,46.81,11.47
2026-04-28 22:20,53.53,46.87,11.47
2026-04-28 22:30,52.63,46.93,11.51
2026-04-28 22:40,47.14,46.99,11.48
2026-04-28 22:50,41.94,47.05,11.48
2026-04-28 23:00,40.16,47.11,11.5
2026-04-28 23:10,43.12,47.18,11.6
2026-04-28 23:20,50.35,47.24,11.61
2026-04-28 23:30,53.94,47.3,11.62
2026-04-28 23:40,53.32,47.37,11.57
2026-04-28 23:50,48.2,47.43,11.57
