timestamp,mass_flow_gas,vol_flow_gas,density_gas,T_injection
2026-04-28 00:00,99325.7,2.0449,41.16,66.79
2026-04-28 00:10,103119.6,2.1156,41.31,66.58
2026-04-28 00:20,103428.5,2.1063,41.61,67.26
2026-04-28 00:30,106186.0,2.1195,42.46,66.89
2026-04-28 00:40,106063.1,2.1468,41.87,66.98
2026-04-28 00:50,102783.6,2.1141,41.2,67.14
2026-04-28 01:00,102865.6,2.1096,41.32,67.21
2026-04-28 01:10,103860.6,2.0982,41.95,67.46
2026-04-28 01:20,104184.9,2.11,41.85,67.01
2026-04-28 01:30,102462.2,2.086,41.63,67.44
2026-04-28 01:40,104112.9,2.1153,41.71,67.83
2026-04-28 01:50,107422.3,2.2122,41.15,67.45
2026-04-28 02:00,106110.7,2.1093,42.63,67.29
2026-04-28 02:10,106091.3,2.1645,41.54,67.17
2026-04-28 02:20,103463.1,2.1407,40.96,67.3
2026-04-28 02:30,105121.1,2.142,41.59,66.92
2026-04-28 02:40,107865.4,2.1498,42.52,67.28
2026-04-28 02:50,105450.8,2.1622,41.33,66.83
2026-04-28 03:00,103700.8,2.1317,41.23,67.78
2026-04-28 03:10,105458.0,2.1581,41.41,67.76
2026-04-28 03:20,105827.6,2.1645,41.43,67.78
2026-04-28 03:30,104052.9,2.1291,41.42,67.95
2026-04-28 03:40,102637.9,2.112,41.18,67.69
2026-04-28 03:50,106076.6,2.1732,41.37,67.78
2026-04-28 04:00,106137.0,2.1471,41.89,67.74
2026-04-28 04:10,109419.8,2.2163,41.84,67.85
2026-04-28 04:20,107284.1,2.2079,41.18,67.65
2026-04-28 04:30,105188.9,2.1302,41.85,68.15
2026-04-28 04:40,104681.3,2.163,41.01,68.03
2026-04-28 04:50,105156.9,2.1579,41.3,68.15
2026-04-28 05:00,105991.1,2.1683,41.43,68.18
2026-04-28 05:10,103839.3,2.1424,41.07,68.16
2026-04-28 05:20,100722.0,2.037,41.9,67.91
2026-04-28 05:30,98019.3,2.0168,41.19,67.52
2026-04-28 05:40,98960.2,2.0184,41.55,67.64
2026-04-28 05:50,96200.5,1.9419,41.98,67.88
2026-04-28 06:00,93610.9,1.8942,41.88,67.81
2026-04-28 06:10,89789.2,1.8356,41.45,67.55
2026-04-28 06:20,86206.7,1.7528,41.68,67.62
2026-04-28 06:30,84407.4,1.7278,41.4,68.04
2026-04-28 06:40,82662.6,1.6831,41.62,67.72
2026-04-28 06:50,79289.5,1.6245,41.36,67.84
2026-04-28 07:00,75651.1,1.5451,41.49,67.86
2026-04-28 07:10,74266.0,1.5325,41.07,67.66
2026-04-28 07:20,71529.2,1.4683,41.28,67.45
2026-04-28 07:30,68863.8,1.4061,41.5,67.84
2026-04-28 07:40,66785.7,1.3754,41.15,67.82
2026-04-28 07:50,64287.2,1.3191,41.3,67.48
2026-04-28 08:00,62312.9,1.2637,41.79,67.65
2026-04-28 08:10,59096.8,1.2186,41.1,68.37
2026-04-28 08:20,54677.5,1.1388,40.69,67.52
2026-04-28 08:30,58322.4,1.171,42.21,67.76
2026-04-28 08:40,57859.8,1.1712,41.87,67.64
2026-04-28 08:50,55936.2,1.1395,41.6,67.64
2026-04-28 09:00,58056.0,1.1938,41.21,67.88
2026-04-28 09:10,56890.2,1.1448,42.11,67.57
2026-04-28 09:20,57834.8,1.1731,41.78,67.68
2026-04-28 09:30,56524.6,1.1616,41.24,67.45
2026-04-28 09:40,56178.3,1.1484,41.45,67.06
2026-04-28 09:50,57317.4,1.1595,41.89,67.73
2026-04-28 10:00,57542.7,1.1733,41.56,67.36
2026-04-28 10:10,56553.1,1.1505,41.66,67.55
2026-04-28 10:20,55914.9,1.1568,40.96,67.68
2026-04-28 10:30,57198.2,1.157,41.9,67.32
2026-04-28 10:40,57130.3,1.1453,42.28,67.01
2026-04-28 10:50,56111.1,1.1242,42.3,67.3
2026-04-28 11:00,55481.7,1.1394,41.27,66.71
2026-04-28 11:10,57613.5,1.1686,41.78,67.3
2026-04-28 11:20,55946.9,1.1526,41.13,67.25
2026-04-28 11:30,55324.6,1.1543,40.62,67.25
2026-04-28 11:40,56265.2,1.1479,41.54,66.85
2026-04-28 11:50,55269.6,1.1336,41.32,67.13
2026-04-28 12:00,55586.8,1.1268,41.81,66.87
2026-04-28 12:10,55716.6,1.1251,41.97,66.92
2026-04-28 12:20,55002.5,1.1374,40.98,67.31
2026-04-28 12:30,54346.6,1.1088,41.54,66.84
2026-04-28 12:40,54515.6,1.1162,41.39,67.17
2026-04-28 12:50,56095.5,1.1481,41.41,66.74
2026-04-28 13:00,54631.4,1.0975,42.19,66.53
2026-04-28 13:10,54349.1,1.1087,41.54,66.94
2026-04-28 13:20,56985.4,1.1398,42.37,66.91
2026-04-28 13:30,54060.6,1.111,41.24,66.65
2026-04-28 13:40,55677.5,1.1266,41.88,66.82
2026-04-28 13:50,53011.9,1.0885,41.27,66.99
2026-04-28 14:00,54079.9,1.1052,41.47,67.28
2026-04-28 14:10,55092.1,1.1098,42.07,67.03
2026-04-28 14:20,54590.0,1.1195,41.33,65.97
2026-04-28 14:30,54009.1,1.0961,41.76,66.66
2026-04-28 14:40,54361.5,1.1221,41.06,66.54
2026-04-28 14:50,52298.6,1.0771,41.15,66.59
2026-04-28 15:00,53007.4,1.074,41.83,66.89
2026-04-28 15:10,52890.6,1.0828,41.4,66.84
2026-04-28 15:20,54450.1,1.1077,41.66,66.41
2026-04-28 15:30,52876.9,1.0812,41.45,66.69
2026-04-28 15:40,54231.2,1.0998,41.79,66.25
2026-04-28 15:50,52950.7,1.0858,41.33,66.06
2026-04-28 16:00,52789.2,1.0782,41.49,66.25
2026-04-28 16:10,53389.6,1.083,41.78,66.06
2026-04-28 16:20,54154.9,1.1006,41.7,66.69
