timestamp,T_primary,T_backup,R_meas_1,R_meas_2
2026-04-28 00:00,74.14,73.81,128.54,128.42
2026-04-28 00:10,74.55,74.62,128.7,128.73
2026-04-28 00:20,74.06,74.0,128.51,128.49
2026-04-28 00:30,74.56,74.56,128.71,128.71
2026-04-28 00:40,74.51,74.91,128.69,128.84
2026-04-28 00:50,74.72,74.75,128.77,128.78
2026-04-28 01:00,74.69,74.3,128.76,128.61
2026-04-28 01:10,75.5,75.03,129.07,128.89
2026-04-28 01:20,75.56,75.36,129.09,129.01
2026-04-28 01:30,74.53,74.51,128.69,128.69
2026-04-28 01:40,76.01,76.06,129.26,129.28
2026-04-28 01:50,75.12,75.0,128.92,128.88
2026-04-28 02:00,75.51,75.45,129.07,129.05
2026-04-28 02:10,75.59,75.3,129.1,128.99
2026-04-28 02:20,75.57,75.62,129.09,129.11
2026-04-28 02:30,74.87,74.71,128.82,128.76
2026-04-28 02:40,75.41,75.33,129.03,129.0
2026-04-28 02:50,75.63,75.41,129.12,129.03
2026-04-28 03:00,75.21,75.52,128.96,129.08
2026-04-28 03:10,75.27,75.21,128.98,128.96
2026-04-28 03:20,75.58,75.54,129.1,129.08
2026-04-28 03:30,76.17,76.09,129.33,129.29
2026-04-28 03:40,76.07,75.94,129.29,129.24
2026-04-28 03:50,76.07,76.04,129.29,129.28
2026-04-28 04:00,75.73,75.72,129.16,129.15
2026-04-28 04:10,76.05,75.87,129.28,129.21
2026-04-28 04:20,75.47,75.78,129.06,129.18
2026-04-28 04:30,76.09,76.03,129.29,129.27
2026-04-28 04:40,76.17,76.16,129.33,129.32
2026-04-28 04:50,75.03,75.05,128.89,128.89
2026-04-28 05:00,75.9,75.95,129.22,129.24
2026-04-28 05:10,75.65,75.62,129.13,129.11
2026-04-28 05:20,76.43,76.41,129.43,129.42
2026-04-28 05:30,75.82,75.87,129.19,129.21
2026-04-28 05:40,75.84,76.0,129.2,129.26
2026-04-28 05:50,75.93,75.98,129.23,129.25
